,2014-03-23,2014-04-07,2014-04-13,2014-04-20,2014-04-28,2014-05-02,2014-05-11,2014-05-17,2014-05-27,2014-05-31,2014-06-05
B7,0.267088444525,0.303812569004,0.261264671913,0.238286464881,0.244265293051,0.19083479958,0.172491570283,0.126575112988,0.0647459943162,0.0315384906271,0.0163534748685
B6,0.272475972205,0.32068390892,0.268327243393,0.222335053342,0.243947033571,0.182277339256,0.16037681294,0.10563097141,0.0541516270546,0.0336462655842,0.0194768600812
B5,0.27754501956,0.300934484917,0.249381527377,0.201091751691,0.214229581012,0.160033733361,0.132178815452,0.0764346685441,0.0418018818507,0.0234241571512,0.0103303633511
B4,0.268944827722,0.278430236318,0.21805736168,0.155556490886,0.164991972649,0.102281579224,0.0706804632333,0.0449529872068,0.0174799568404,0.0103714333118,0.00851772294376
B3,0.203078679781,0.2234676601,0.132134168569,0.0950739887974,0.0872626784384,0.0466536677929,0.0293495928442,0.0255681585901,0.00990180373192,0.00727806976455,0.00599965678071
B2,0.068554425687,0.0909521989081,0.0265219134114,0.0268359875011,0.0155910336611,0.0367136932689,0.0548183820019,0.0416758833705,0.0170490472837,0.0108829623536,0.00665132152407
B1,0.122777191368,0.0492639867078,0.133179028829,0.124045073986,0.0572425586321,0.068329334259,0.095290058064,0.0429122324648,0.0279446589847,0.0269925710228,0.00988554656506
