,2014-03-23,2014-04-07,2014-04-13,2014-04-20,2014-04-28,2014-05-02,2014-05-11,2014-05-17,2014-05-27,2014-05-31,2014-06-05
B7,0.217234543373,0.243575629074,0.190046347395,0.130316979666,0.149038806232,0.0963629845598,0.0771596460048,0.0448572217274,0.0197088654582,0.00743839684936,0.00403198538155
B6,0.217218554049,0.258736674863,0.205047051794,0.134005597576,0.160390397115,0.10679999648,0.0830799948803,0.0391314021636,0.0171721201325,0.0103066297758,0.00621890989758
B5,0.202148487877,0.222432333895,0.175359845576,0.109391573602,0.127346170467,0.0830742997042,0.058868132907,0.0211854930815,0.010764004747,0.00525240812473,0.0023913157269
B4,0.171370914936,0.183329942847,0.127984920626,0.0719951946841,0.0797915037244,0.0475063113743,0.0295026818397,0.0124061524106,0.0054176341573,0.00267129706353,0.00200948592658
B3,0.097456928273,0.111376735996,0.0637382785769,0.0387812820556,0.0334587080059,0.0224062589821,0.0125671977104,0.0107883669666,0.00576010540776,0.00324104505293,0.00216500364619
B2,0.0304883340334,0.0422621387439,0.0164904334706,0.0186649024108,0.00811261278773,0.0200447989138,0.0142965980412,0.0151725306531,0.00949407875538,0.00503179516111,0.000789334489541
B1,0.0375687082609,0.029339953297,0.0177973538637,0.0295863859355,0.011048136414,0.0193715556101,0.0191587337426,0.0156976195673,0.0175660528788,0.0148378405078,0.0031287681777
