,2015-02-17,2015-03-05,2015-03-25,2015-04-09,2015-04-15,2015-04-27,2015-05-01,2015-06-08
B7,0.130807816343,0.197253944937,0.144689226846,0.14868896179,0.130368488103,0.132469281435,0.0828258142215,0.0343154161963
B6,0.159142803072,0.230082540164,0.150466499082,0.165356804343,0.142798173603,0.137338186932,0.0810493683854,0.0211257257348
B5,0.10151308759,0.162271580122,0.0905851616548,0.0999854288525,0.0743355339327,0.0702141063094,0.0420056661395,0.00858726989792
B4,0.0555890490703,0.104242566167,0.0561638867573,0.0592385847311,0.0368767818688,0.0283736651569,0.0406569467558,0.0102696293717
B3,0.0919898439337,0.028755530768,0.0440243572659,0.034464421962,0.0153764423069,0.0118916758706,0.0299949091131,0.0205840569861
B2,0.12372722796,0.156820086872,0.153774424033,0.0211168247679,0.0198070471545,0.0120361143117,0.021246793535,0.0132329092113
B1,0.0731619937079,0.134606075287,0.0783713698387,0.0109650788484,0.0141753765068,0.0195413794782,0.0241597441008,0.022980977749
