,2016-04-01,2016-04-07,2016-04-16,2016-04-26,2016-05-27,2016-06-07,2016-06-13,2016-06-20
B7,0.883350038243,0.844487963596,0.776009747464,0.798023073734,0.541093840789,0.346116410242,0.253377548734,0.188654198497
B6,0.960485381866,0.891355987565,0.842552057985,0.836345031578,0.507429391129,0.30692062693,0.203848968661,0.136045945417
B5,0.785038648289,0.634351601541,0.565248046081,0.607253447621,0.25879544261,0.14818170816,0.0861812538971,0.0516355256461
B4,0.534864710733,0.416885038642,0.363683163132,0.35953137986,0.118390916694,0.0942671780295,0.0555730099675,0.04210803853
B3,0.23999515085,0.195489376908,0.163258653065,0.150119717728,0.0518508576184,0.0736168583176,0.0501706891925,0.0652531665304
B2,0.0805963392207,0.0627262889021,0.0343705645511,0.0455748056926,0.067379557488,0.076076998569,0.0646964354174,0.0574938281108
B1,0.0270848871501,0.0281307878984,0.00996834265515,0.0300626492556,0.0509323914846,0.0318662625987,0.0271843465475,0.0204517428692
