,2015-02-17,2015-03-05,2015-03-25,2015-04-09,2015-04-15,2015-04-27,2015-05-01,2015-06-08
B7,0.0932727774136,0.120290454598,0.0665345465731,0.0612312181585,0.0368991695038,0.045077746322,0.0129970529241,0.00219169451344
B6,0.115247868634,0.157719894234,0.0715733330781,0.0832092118137,0.0482681666325,0.0626012030514,0.0226869169143,0.0061763879907
B5,0.104980569101,0.143448312903,0.0584810057819,0.0810054719787,0.0440243777875,0.0565859630771,0.0187531560246,0.00278721147582
B4,0.0660878004484,0.104736789686,0.0358636536115,0.0649060599707,0.0202675884485,0.0324838019554,0.00768670267661,0.00285921806862
B3,0.117885309717,0.0204756940766,0.0138574368726,0.048582934078,0.00592740586343,0.0173842516599,0.0065129957987,0.00619332387414
B2,0.12893679738,0.14306341807,0.0496681549332,0.0343120779928,0.00840245301907,0.0073023652509,0.0102280542141,0.00831198356521
B1,0.102569438517,0.198358625174,0.010136959143,0.0242107921605,0.00787342275892,0.0153226828575,0.0251767384379,0.0231981621339
