,2014-03-23,2014-04-07,2014-04-13,2014-04-20,2014-04-28,2014-05-02,2014-05-11,2014-05-17,2014-05-27,2014-05-31,2014-06-05
B7,0.375177525812,0.389554831942,0.354256382343,0.379594468022,0.382772777575,0.340784173298,0.353145025809,0.302031717068,0.245379510504,0.190573232947,0.140353151369
B6,0.400873729988,0.417673858883,0.376680637956,0.390192373556,0.384850918486,0.341781688715,0.326563894704,0.258560105349,0.183804497946,0.133466720502,0.0803021011798
B5,0.380458027294,0.38423361534,0.335019526609,0.337131588419,0.318767760218,0.274733451022,0.236923299187,0.174349826281,0.0991083016539,0.0639367646519,0.0325205549626
B4,0.354595423947,0.347686865615,0.269698101846,0.253647068746,0.226662987304,0.162760564527,0.119937529758,0.105607082535,0.0400935025316,0.0292829651246,0.026992249884
B3,0.230981226697,0.223824819387,0.14355824944,0.135506430524,0.0954156908303,0.0731062609228,0.053922069316,0.0583565362771,0.0409339570651,0.0437158734042,0.0472528973022
B2,0.0791941410353,0.0673879359849,0.0329125685414,0.0402500521534,0.0221919359819,0.0660079908667,0.082805120457,0.0572371439891,0.0548182991911,0.0537420433688,0.053371249379
B1,0.142950567227,0.0482390426134,0.131603317644,0.143396077012,0.114767931092,0.119819265016,0.132838908458,0.063503179827,0.0732647072185,0.0732228844254,0.0635766801725
