,2015-02-17,2015-03-05,2015-03-25,2015-04-09,2015-04-15,2015-04-27,2015-05-01,2015-06-08
B7,0.151979906403,0.25841973398,0.244764204796,0.290687727948,0.299062511003,0.297691291659,0.216951084752,0.113069643204
B6,0.183068086523,0.285482042327,0.248646867641,0.312204792711,0.311169329851,0.300062063278,0.212620367659,0.0746953217013
B5,0.161831497664,0.238276868553,0.186292658913,0.232865482566,0.223396243049,0.209347671378,0.137850328409,0.0315332621622
B4,0.087861238516,0.131831303722,0.0858309142334,0.111961355305,0.0943731585298,0.0827448547682,0.051731869891,0.0460726517257
B3,0.110694415867,0.0249424489738,0.039319933535,0.0601725795691,0.0413025015077,0.0303015760583,0.0489648603043,0.0565055709287
B2,0.132703299271,0.0770086560931,0.152044787849,0.0371852716672,0.0337659492633,0.0269153633462,0.0806644843838,0.0591514391058
B1,0.14385523421,0.232539014118,0.17538221871,0.0268093623132,0.115066441623,0.120558153545,0.116943028689,0.0756685558894
