,2015-02-17,2015-03-05,2015-03-25,2015-04-09,2015-04-15,2015-04-27,2015-05-01,2015-06-08
B7,0.133313865223,0.205363283121,0.161754303915,0.156464979384,0.157957604653,0.149375774893,0.0738991035903,0.0192608182126
B6,0.143031095297,0.207525239087,0.138134277227,0.154164208776,0.127550199561,0.130857949262,0.0684813325845,0.0198851736395
B5,0.138116295013,0.1837853396,0.108355503163,0.135511037466,0.102667996221,0.108693592704,0.0619835501362,0.0100945746352
B4,0.0898022309161,0.117596101148,0.0527776465673,0.0825518127998,0.047106875595,0.0556691946659,0.0258106346042,0.00698296632833
B3,0.0937425525565,0.0205687206794,0.0240413198091,0.0592362381913,0.0183048324203,0.0281018779831,0.00915433090424,0.00908081076647
B2,0.157086127513,0.0557197549126,0.133009575509,0.0469226925872,0.0125642544122,0.0100639366809,0.0346679056392,0.00658996750911
B1,0.149149554116,0.208967740195,0.106306405628,0.0292016843731,0.0451352553708,0.0392500522525,0.0334939850701,0.0389429330826
