,2016-04-01,2016-04-07,2016-04-16,2016-04-26,2016-05-27,2016-06-07,2016-06-13,2016-06-20
B7,0.646838659528,0.648310097881,0.591947194534,0.671126348854,0.424920817993,0.213665089444,0.132394676,0.0602190334468
B6,0.667689279586,0.661030667107,0.63039678463,0.712252641254,0.414876495523,0.20120125127,0.145505981276,0.0865158284699
B5,0.691286942751,0.672954819222,0.65460391787,0.724643435602,0.358028445714,0.22346709011,0.142212150705,0.0779920302862
B4,0.647388216238,0.609157399608,0.595722572902,0.649408818326,0.179743061185,0.115009178114,0.0566265328166,0.0357528019917
B3,0.562141259909,0.483304009037,0.443137923635,0.44272094744,0.0633163280798,0.0411654892931,0.0271704179527,0.0277634189242
B2,0.233961891037,0.156206101513,0.112725540424,0.105433621853,0.111595802462,0.0866112978953,0.0754365030924,0.0385944313473
B1,0.13009546016,0.0936088398641,0.0588464008114,0.150411596439,0.194759169079,0.116905609767,0.0993249232952,0.0321498030708
