,2014-03-23,2014-04-07,2014-04-13,2014-04-20,2014-04-28,2014-05-02,2014-05-11,2014-05-17,2014-05-27,2014-05-31,2014-06-05
B7,0.301104938814,0.306641171359,0.25849323383,0.212687814801,0.238785285155,0.193434402308,0.186589039882,0.127824823485,0.0961195686484,0.0674785065515,0.0436433046847
B6,0.299230628307,0.309225969915,0.262178817636,0.20552489354,0.229484214627,0.182079439732,0.158081957622,0.0915430544889,0.064081917191,0.0437192884241,0.0214206251275
B5,0.225436516171,0.230221421467,0.181698071823,0.131838897962,0.138021648899,0.104853297719,0.0797365763578,0.0444662509243,0.0263612394819,0.0149748684635,0.00782649424023
B4,0.152624514023,0.154142168395,0.111876370829,0.0829960790174,0.0662446503735,0.0572832180344,0.0413471181699,0.0329853317751,0.0284826032989,0.0168764912329,0.0143759899881
B3,0.0733354109918,0.0705782311953,0.0483184432654,0.0370098352432,0.0213358359983,0.0247855722653,0.0198756890548,0.0242084934893,0.0189667231941,0.0201598778367,0.0291584260536
B2,0.0376662384423,0.0269236172064,0.0192001793307,0.0236774612209,0.0104208561039,0.0286806341596,0.0196367113983,0.018618691439,0.0150678876328,0.0117288715435,0.0131855701858
B1,0.0407929544325,0.0159844761697,0.029776461104,0.0360526041109,0.0183046263766,0.0259047233396,0.0317770062071,0.0193474292755,0.0147806872492,0.012330419877,0.0164348222315
