,2016-04-01,2016-04-07,2016-04-16,2016-04-26,2016-05-27,2016-06-07,2016-06-13,2016-06-20
B7,0.94075515199,0.959587481344,0.939477802102,1.00454258555,0.864913763217,0.619843719431,0.50171666991,0.406507617021
B6,1.04053868843,1.04889666646,1.05450029805,1.08806539443,0.833290592568,0.563343248422,0.420634962879,0.319844349626
B5,0.987296795931,0.967331704835,0.960701812387,0.966105503997,0.602599089014,0.389592708603,0.258330507086,0.177919322576
B4,0.856513670777,0.779521297631,0.756635988827,0.714137076259,0.268699386309,0.167706114797,0.104144645315,0.0784929368674
B3,0.627228177768,0.534706374116,0.472999588125,0.409266701085,0.132788101429,0.103768592107,0.085729573939,0.0851061830853
B2,0.226113955372,0.164235557377,0.104773253958,0.109193941351,0.165002789256,0.178198827664,0.156187953882,0.135585310769
B1,0.151814958272,0.0811247775729,0.0409543086128,0.0711190153263,0.309325736866,0.253287260197,0.206841406615,0.160901078233
