,2016-04-01,2016-04-07,2016-04-16,2016-04-26,2016-05-27,2016-06-07,2016-06-13,2016-06-20
B7,0.542295947732,0.532720905632,0.437116835778,0.511250619511,0.220358797114,0.0942089244038,0.050823846571,0.0187870519885
B6,0.634108793822,0.598500377432,0.539132850911,0.602954451304,0.249165960968,0.112016825132,0.0625829633905,0.0274276633789
B5,0.632542452657,0.557033889022,0.509663581216,0.567639343838,0.178210387733,0.100183101628,0.049424727461,0.0209299590637
B4,0.544972732326,0.448771440887,0.403009111821,0.438307255714,0.082995557919,0.0507405090505,0.0175110278019,0.0131707684747
B3,0.353966516299,0.277405364531,0.235189547613,0.238031843319,0.0243453461994,0.0223886066013,0.0155308360366,0.0244978659734
B2,0.0999956084738,0.0680472992495,0.0515581195512,0.073772496029,0.0458314061647,0.0303424083825,0.0225880976879,0.0201760959625
B1,0.0291128497152,0.0334778621123,0.0161128206261,0.0324945017977,0.0267023530979,0.0265038963407,0.0248072847724,0.0194596091906
